,risk_category,state_name,county_name,census_tract_code
29772,Current Risk (FEMA High Risk),New Jersey,Salem,34033020600
33820,Current Risk (FEMA High Risk),New Jersey,Salem,34033021700
37021,Current Risk (FEMA High Risk),New Jersey,Salem,34033021600
37941,Current Risk (FEMA High Risk),New Jersey,Salem,34033022201
45051,Current Risk (FEMA High Risk),New Jersey,Salem,34033022202
69947,Current Risk (FEMA High Risk),New Jersey,Salem,34033021500
79450,Current Risk (FEMA High Risk),New Jersey,Salem,34033021900
1001,Current Risk (FEMA High Risk),New Jersey,Ocean,34029723400
6374,Current Risk (FEMA High Risk),New Jersey,Ocean,34029727001
7315,Current Risk (FEMA High Risk),New Jersey,Ocean,34029739000
8200,Current Risk (FEMA High Risk),New Jersey,Ocean,34029728002
8201,Current Risk (FEMA High Risk),New Jersey,Ocean,34029733001
8204,Current Risk (FEMA High Risk),New Jersey,Ocean,34029710101
16008,Current Risk (FEMA High Risk),New Jersey,Ocean,34029732104
16949,Current Risk (FEMA High Risk),New Jersey,Ocean,34029732101
16950,Current Risk (FEMA High Risk),New Jersey,Ocean,34029729000
16953,Current Risk (FEMA High Risk),New Jersey,Ocean,34029731001
16954,Current Risk (FEMA High Risk),New Jersey,Ocean,34029731002
16955,Current Risk (FEMA High Risk),New Jersey,Ocean,34029714200
19010,Current Risk (FEMA High Risk),New Jersey,Ocean,34029735105
21466,Current Risk (FEMA High Risk),New Jersey,Ocean,34029722500
26036,Current Risk (FEMA High Risk),New Jersey,Ocean,34029713700
28654,Current Risk (FEMA High Risk),New Jersey,Ocean,34029710102
30627,Current Risk (FEMA High Risk),New Jersey,Ocean,34029728001
30631,Current Risk (FEMA High Risk),New Jersey,Ocean,34029732103
33856,Current Risk (FEMA High Risk),New Jersey,Ocean,34029722402
37683,Current Risk (FEMA High Risk),New Jersey,Ocean,34029735104
41635,Current Risk (FEMA High Risk),New Jersey,Ocean,34029713800
41969,Current Risk (FEMA High Risk),New Jersey,Ocean,34029738002
44560,Current Risk (FEMA High Risk),New Jersey,Ocean,34029724000
46102,Current Risk (FEMA High Risk),New Jersey,Ocean,34029739200
46106,Current Risk (FEMA High Risk),New Jersey,Ocean,34029736106
58052,Current Risk (FEMA High Risk),New Jersey,Ocean,34029737000
58103,Current Risk (FEMA High Risk),New Jersey,Ocean,34029734002
58107,Current Risk (FEMA High Risk),New Jersey,Ocean,34029714300
58378,Current Risk (FEMA High Risk),New Jersey,Ocean,34029722600
58380,Current Risk (FEMA High Risk),New Jersey,Ocean,34029722401
61788,Current Risk (FEMA High Risk),New Jersey,Ocean,34029727002
65510,Current Risk (FEMA High Risk),New Jersey,Ocean,34029738100
72479,Current Risk (FEMA High Risk),New Jersey,Ocean,34029723600
73471,Current Risk (FEMA High Risk),New Jersey,Ocean,34029711400
73473,Current Risk (FEMA High Risk),New Jersey,Ocean,34029714100
74569,Current Risk (FEMA High Risk),New Jersey,Ocean,34029728003
75344,Current Risk (FEMA High Risk),New Jersey,Ocean,34029738001
76302,Current Risk (FEMA High Risk),New Jersey,Ocean,34029735106
78408,Current Risk (FEMA High Risk),New Jersey,Ocean,34029723500
82788,Current Risk (FEMA High Risk),New Jersey,Ocean,34029728004
82990,Current Risk (FEMA High Risk),New Jersey,Ocean,34029736002
83127,Current Risk (FEMA High Risk),New Jersey,Ocean,34029736105
1929,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025801800
5711,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025809302
14002,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025802500
14003,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025808001
22077,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025800101
23000,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025801700
28347,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025800601
31456,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025809400
34037,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025808300
37016,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025812100
39851,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025804200
41308,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025802100
53923,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025805500
53970,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025805400
53972,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025801600
68468,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025805300
69095,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025803800
72057,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025804100
75907,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025800400
78254,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025802200
82197,Current Risk (FEMA High Risk),New Jersey,Monmouth,34025800500
28845,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023007910
35124,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023003500
46756,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023980000
50480,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023001806
59062,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023009000
60221,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023002901
60223,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023003401
62818,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023009200
70687,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023008001
81720,Current Risk (FEMA High Risk),New Jersey,Middlesex,34023007402
2873,Current Risk (FEMA High Risk),New Jersey,Hudson,34017007300
18119,Current Risk (FEMA High Risk),New Jersey,Hudson,34017005400
18121,Current Risk (FEMA High Risk),New Jersey,Hudson,34017014700
19643,Current Risk (FEMA High Risk),New Jersey,Hudson,34017019300
22245,Current Risk (FEMA High Risk),New Jersey,Hudson,34017020100
31425,Current Risk (FEMA High Risk),New Jersey,Hudson,34017012800
35401,Current Risk (FEMA High Risk),New Jersey,Hudson,34017019800
35629,Current Risk (FEMA High Risk),New Jersey,Hudson,34017006900
35631,Current Risk (FEMA High Risk),New Jersey,Hudson,34017006500
41734,Current Risk (FEMA High Risk),New Jersey,Hudson,34017017900
42044,Current Risk (FEMA High Risk),New Jersey,Hudson,34017014801
43474,Current Risk (FEMA High Risk),New Jersey,Hudson,34017013800
46880,Current Risk (FEMA High Risk),New Jersey,Hudson,34017001701
47569,Current Risk (FEMA High Risk),New Jersey,Hudson,34017007701
59108,Current Risk (FEMA High Risk),New Jersey,Hudson,34017018301
59579,Current Risk (FEMA High Risk),New Jersey,Hudson,34017012700
59581,Current Risk (FEMA High Risk),New Jersey,Hudson,34017014600
60437,Current Risk (FEMA High Risk),New Jersey,Hudson,34017011200
62908,Current Risk (FEMA High Risk),New Jersey,Hudson,34017014802
71564,Current Risk (FEMA High Risk),New Jersey,Hudson,34017010601
72116,Current Risk (FEMA High Risk),New Jersey,Hudson,34017014101
73174,Current Risk (FEMA High Risk),New Jersey,Hudson,34017019900
83471,Current Risk (FEMA High Risk),New Jersey,Hudson,34017980100
59060,Current Risk (FEMA High Risk),New Jersey,Essex,34013980200
60122,Current Risk (FEMA High Risk),New Jersey,Essex,34013007501
60131,Current Risk (FEMA High Risk),New Jersey,Essex,34013007400
72710,Current Risk (FEMA High Risk),New Jersey,Essex,34013007502
57946,Current Risk (FEMA High Risk),New Jersey,Cumberland,34011010200
57947,Current Risk (FEMA High Risk),New Jersey,Cumberland,34011010101
57949,Current Risk (FEMA High Risk),New Jersey,Cumberland,34011010500
59145,Current Risk (FEMA High Risk),New Jersey,Cumberland,34011010302
65051,Current Risk (FEMA High Risk),New Jersey,Cumberland,34011010401
80499,Current Risk (FEMA High Risk),New Jersey,Cumberland,34011010301
1797,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021500
3506,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020203
5423,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021702
6651,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020302
16386,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020902
16438,Current Risk (FEMA High Risk),New Jersey,Cape May,34009022101
18036,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020102
18037,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021100
25634,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021400
26963,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020101
33490,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020901
33497,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020201
36928,Current Risk (FEMA High Risk),New Jersey,Cape May,34009022000
41314,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020301
42207,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020600
58835,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020205
58836,Current Risk (FEMA High Risk),New Jersey,Cape May,34009021002
59142,Current Risk (FEMA High Risk),New Jersey,Cape May,34009022102
59143,Current Risk (FEMA High Risk),New Jersey,Cape May,34009020206
