U.S. Coastline Counties: 2016,,,,,,
,,,,,,
"STATE/
COUNTY
FIPS","STATE
FIPS","COUNTY
FIPS",COUNTY NAME,STATE NAME,COASTLINE REGION,"V.2016
POPULATION
ESTIMATE"
51103,51,103,Lancaster County,Virginia,Atlantic,"10,972"
51115,51,115,Mathews County,Virginia,Atlantic,"8,782"
51119,51,119,Middlesex County,Virginia,Atlantic,"10,778"
51131,51,131,Northampton County,Virginia,Atlantic,"12,139"
51133,51,133,Northumberland County,Virginia,Atlantic,"12,222"
51153,51,153,Prince William County,Virginia,Atlantic,"455,210"
51159,51,159,Richmond County,Virginia,Atlantic,"8,774"
51179,51,179,Stafford County,Virginia,Atlantic,"144,361"
51181,51,181,Surry County,Virginia,Atlantic,"6,544"
51193,51,193,Westmoreland County,Virginia,Atlantic,"17,592"
51199,51,199,York County,Virginia,Atlantic,"67,976"
51650,51,650,Hampton city,Virginia,Atlantic,"135,410"
51700,51,700,Newport News city,Virginia,Atlantic,"181,825"
51710,51,710,Norfolk city,Virginia,Atlantic,"245,115"
51735,51,735,Poquoson city,Virginia,Atlantic,"12,017"
51740,51,740,Portsmouth city,Virginia,Atlantic,"95,252"
51800,51,800,Suffolk city,Virginia,Atlantic,"89,273"
51810,51,810,Virginia Beach city,Virginia,Atlantic,"452,602"
53009,53,009,Clallam County,Washington,Pacific,"74,570"
53027,53,027,Grays Harbor County,Washington,Pacific,"71,628"
53029,53,029,Island County,Washington,Pacific,"82,636"
53031,53,031,Jefferson County,Washington,Pacific,"31,139"
53033,53,033,King County,Washington,Pacific,"2,149,970"
53035,53,035,Kitsap County,Washington,Pacific,"264,811"
53045,53,045,Mason County,Washington,Pacific,"62,198"
53049,53,049,Pacific County,Washington,Pacific,"21,249"
53053,53,053,Pierce County,Washington,Pacific,"861,312"
53055,53,055,San Juan County,Washington,Pacific,"16,339"
53057,53,057,Skagit County,Washington,Pacific,"123,681"
53061,53,061,Snohomish County,Washington,Pacific,"787,620"
53069,53,069,Wahkiakum County,Washington,Pacific,"4,139"
53073,53,073,Whatcom County,Washington,Pacific,"216,800"
,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Internet Release Date: August 2018,,,,,,
